Category;Award;Brewery;Country;Beer;Website;Style Origin
BOHEMIAN-STYLE DARK LAGER;SILVER;Pivovar Samson;Czech Republic;Samson - Original Czech Dark Lager;www.samson.cz;Central European
BOHEMIAN-STYLE DARK LAGER;BRONZE;Bräunlinger Löwenbrauerei;Germany;Black Lion;www.braeunlinger.de;Central European
GERMAN-STYLE HELLER BOCK;GOLD;Gebr. Müller Müllerbräu;Germany;Müllerbräu Jubiläumsbock;www.muellerbraeu.com;Central European
GERMAN-STYLE HELLER BOCK;SILVER;Birrificio Statalenove;Italy;ALMAMATER;www.statalenove.it;Central European
GERMAN-STYLE HELLER BOCK;BRONZE;Wacken Brauerei;Germany;Freya - Frühjahrsbock;www.wacken.beer;Central European
GERMAN-STYLE DUNKLER BOCK;GOLD;Browar Trzech Kumpli;Poland;Koźlak Trzech Kumpli;www.trzechkumpli.pl;Central European
GERMAN-STYLE DUNKLER BOCK;SILVER;Brauerei Hirt;Austria;Hirter Rubin Bock;www.hirterbier.at;Central European
GERMAN-STYLE DUNKLER BOCK;BRONZE;Hijos de Rivera;Spain;1906 Black Coupage;www.estrellagalicia.es;Central European
GERMAN-STYLE HELLER DOPPELBOCK;GOLD;Kronenbrauerei Alfred Schimpf;Germany;Schimpf Bockbier;www.brauerei-schimpf.de;Central European
GERMAN-STYLE HELLER DOPPELBOCK;SILVER;Brauerei-Gasthof Kundmüller;Germany;Weiherer Rolator;www.brauerei-kundmueller.de;Central European
GERMAN-STYLE HELLER DOPPELBOCK;BRONZE;Blockbräu;Germany;Blockbräu Maibock;www.block-braeu.de;Central European
GERMAN-STYLE DUNKLER DOPPELBOCK;GOLD;Birrificio Lambrate;Italy;Porpora;www.birrificiolambrate.com;Central European
GERMAN-STYLE DUNKLER DOPPELBOCK;SILVER;Aktienbrauerei Kaufbeuren;Germany;ABK Doppelbock Buronator;www.aktienbrauerei.de;Central European
GERMAN-STYLE DUNKLER DOPPELBOCK;BRONZE;Schlossbrauerei Autenried;Germany;Leonhardi Bock;www.autenrieder.de;Central European
BELGIAN-STYLE BLOND ALE;GOLD;Brasserie St. Feuillien;Belgium;Grisette Blonde Bio;www.st-feuillien.com;Belgian
BELGIAN-STYLE BLOND ALE;SILVER;Kazematten;Belgium;Wipers Times Blond;www.kazematten.be;Belgian
BELGIAN-STYLE BLOND ALE;BRONZE;Bierbrouwerij De Koningshoeven;Netherlands;La Trappe Blond;www.latrappetrappist.com;Belgian
BELGIAN-STYLE STRONG BLOND ALE;GOLD;Monkless Belgian Ales;USA;Four Devils;www.monkless.com;Belgian
BELGIAN-STYLE STRONG BLOND ALE;SILVER;Bierbrouwerij De Magistraat;Netherlands;Questeerder;www.magistraat.beer;Belgian
BELGIAN-STYLE STRONG BLOND ALE;BRONZE;Birrificio Manerba;Italy;The Belgian Queen;www.birrificiomanerba.it;Belgian
BELGIAN-STYLE STRONG DARK ALE;GOLD;Bierbrouwerij De Magistraat;Netherlands;Poldermolenaar;www.magistraat.beer;Belgian
