Category;Award;Brewery;Country;Beer;Website;Style Origin
NEW-STYLE NON-ALCOHOLIC ALE;SILVER;Camba Bavaria;Germany;Camba FREE IPA;www.cambabavaria.de;American
NEW-STYLE NON-ALCOHOLIC ALE;BRONZE;FrauGruber Craft Brewing;Germany;"FrauGruber ""Lucky Liver""";www.fraugruber-craftbrewing.com;American
NON-ALCOHOLIC HEFEWEIZEN;GOLD;Brauerei Gebr. Maisel;Germany;Maisel's Weisse Alkoholfrei;www.maisel.com;Central European
NON-ALCOHOLIC HEFEWEIZEN;SILVER;Eder & Heylands Brauerei;Germany;Schlappeseppel Weißbier alkoholfrei;www.eders.de;Central European
NON-ALCOHOLIC HEFEWEIZEN;BRONZE;Brauerei Rittmayer Hallerndorf;Germany;Weizen alkoholfrei;www.rittmayer.de;Central European
EXPERIMENTAL BEER;GOLD;Stieglbrauerei zu Salzburg;Austria;Wildshut Bio Antique;www.stiegl.at;Other
EXPERIMENTAL BEER;SILVER;Full Moon Brewworks;Thailand;POW HOWL THAIPA;www.fullmoonbrewwork.com;Other
EXPERIMENTAL BEER;BRONZE;COEDO BREWERY;Japan;COEDO Life Brewing 30s;www.coedobrewery.com;Other
BEER MIX BEVERAGE;GOLD;Hirsch-Brauerei Honer;Germany;Hirsch Natürliches Donau Radler Blutorange;www.hirschbrauerei.de;Other
BEER MIX BEVERAGE;SILVER;Lammbräu Hilsenbeck;Germany;Gruibinger Halb/Halb;www.gruibinger.de;Other
BEER MIX BEVERAGE;BRONZE;Ottakringer Brauerei;Austria;Ottakringer Citrus Radler;www.ottakringerbrauerei.at;Other
NON-ALCOHOLIC BEER MIX BEVERAGE;GOLD;Ottakringer Brauerei;Austria;Ottakringer Null Komma Josef Radler Zitrone Minze;www.ottakringerbrauerei.at;Other
NON-ALCOHOLIC BEER MIX BEVERAGE;SILVER;Ittinger Bier;Switzerland;Calanda Radler 0.0% Grapefruit;www.ittinger.ch;Other
NON-ALCOHOLIC BEER MIX BEVERAGE;BRONZE;Spaten-Franziskaner Bräu;Germany;Franziskaner Weissbier Alkoholfrei Zitrone;www.spatenbraeu.de;Other
